A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Credit
2,226,1.75,2,1,9,8,0.5,0,0,0,1,0,80,2,0.38,88.0,0,0.5,bad
2,90,1.25,2,1,2,8,0.25,0,0,0,0,0,4,0,0.73,37.0,0,0.26,bad
2,167,1.75,3,3,5,4,0.04,1,0,0,1,0,106,0,0.5,12.0,2,0.17,good
1,271,4.0,2,1,8,5,0.0,1,0,0,0,0,1,960,0.36,79.0,0,0.14,good
1,20,10.21,2,1,6,3,0.0,0,0,0,0,0,0,50,0.08,34.0,0,0.11,bad
2,233,1.625,2,1,2,8,1.5,0,0,0,0,0,0,316,0.82,29.0,2,0.16,bad
2,184,2.75,2,1,7,1,0.0,0,0,0,0,0,34,0,0.48,68.0,0,0.63,bad
2,309,6.75,2,1,2,4,2.625,1,1,11,1,0,0,284,0.0,53.0,0,0.08,good
0,128,0.585,2,1,1,8,0.04,0,0,0,0,0,67,1004,0.39,77.0,0,0.02,bad
2,303,1.375,3,3,2,4,9.46,1,0,0,1,0,40,100,0.26,100.0,1,0.71,bad
1,317,16.0,2,1,8,3,0.0,1,1,15,0,0,0,247,0.06,18.0,2,0.05,good
1,180,2.5,3,3,2,8,2.5,0,0,0,1,0,0,2,0.53,34.0,2,0.78,bad
2,194,2.5,2,1,3,1,0.5,0,0,0,0,0,91,0,0.71,28.0,2,0.7,bad
1,225,1.5,2,1,6,3,0.0,0,0,0,0,0,157,0,0.31,30.0,1,0.56,bad
2,51,3.0,3,3,4,8,1.085,1,1,8,1,0,23,1,0.04,6.0,1,0.65,good
1,70,10.75,2,1,11,8,0.415,1,1,5,1,0,0,560,0.87,95.0,0,0.54,good
1,81,1.5,2,1,13,8,0.875,0,0,0,1,0,23,0,0.23,17.0,0,0.68,bad
2,240,5.0,2,1,2,8,5.0,1,1,7,0,0,0,3065,0.24,23.0,1,0.19,good
1,17,9.0,2,1,1,8,1.375,1,0,0,1,0,0,0,0.9,27.0,1,0.7,good
2,174,2.335,2,1,4,4,5.75,0,0,0,1,0,78,0,0.76,97.0,1,0.04,bad
2,100,0.375,2,1,10,8,0.25,1,1,3,0,0,67,15108,0.07,81.0,1,0.21,good
1,200,12.0,2,1,11,4,14.0,1,1,8,0,0,0,6590,0.76,3.0,1,0.25,good
2,188,1.54,2,1,3,8,1.54,1,1,1,1,0,141,50000,0.7,39.0,2,0.12,good
1,38,0.665,3,3,2,8,1.0,0,1,1,0,0,41,2,0.97,21.0,2,0.94,bad
1,49,10.25,2,1,11,8,0.71,1,1,2,1,0,133,0,0.2,66.0,1,0.04,good
2,196,2.5,2,1,13,8,0.0,1,0,0,1,0,59,200,0.65,91.0,0,0.97,good
2,83,12.0,2,1,2,8,2.085,0,0,0,0,2,159,0,0.95,36.0,0,0.46,bad
1,38,0.665,2,1,13,8,1.665,0,0,0,0,0,51,5,0.6,95.0,1,0.27,bad
0,179,2.25,3,3,3,8,3.5,0,0,0,1,0,40,141,0.54,44.0,2,0.48,bad
2,349,0.5,2,1,2,1,0.835,1,0,0,1,2,86,0,0.75,13.0,1,0.88,bad
2,208,0.75,3,3,4,8,0.585,0,0,0,0,0,61,3,0.8,31.0,0,0.62,bad
2,12,0.25,2,1,11,8,0.335,0,1,4,0,0,23,8,0.4,80.0,0,1.0,bad
2,117,1.5,3,3,13,8,0.375,1,0,0,1,0,67,1065,0.07,77.0,2,0.18,good
2,41,1.25,3,3,9,8,0.125,0,0,0,0,0,15,4,0.14,71.0,0,0.36,bad
2,300,2.04,3,3,6,3,1.5,0,0,0,0,0,8,1,0.37,22.0,1,0.77,bad
2,157,2.085,2,1,2,8,0.085,0,0,0,0,0,80,0,0.62,75.0,2,0.1,bad
1,32,9.0,2,1,1,8,0.75,1,1,2,0,0,162,591,0.23,13.0,0,0.06,good
2,104,12.835,2,1,3,8,0.5,0,0,0,0,0,0,2,0.96,18.0,0,0.15,bad
2,71,1.585,3,3,13,8,3.085,1,1,6,0,0,159,0,0.17,8.0,2,0.14,good
1,60,11.75,2,1,2,8,0.25,0,0,0,1,0,34,0,0.98,82.0,2,0.27,bad
2,22,5.5,2,1,9,8,0.5,1,0,0,0,0,159,0,0.45,42.0,0,0.81,good
2,106,1.0,2,1,11,8,1.75,1,0,0,1,0,74,0,0.12,66.0,2,0.86,good
1,332,16.5,2,1,11,8,11.0,1,0,0,1,0,45,10561,0.79,87.0,0,0.66,good
2,141,4.75,2,1,10,8,2.0,0,1,1,1,0,128,68,0.69,30.0,1,0.85,bad
2,89,13.335,3,3,1,8,0.04,0,0,0,1,0,8,475,0.95,69.0,2,0.1,bad
1,278,8.0,2,1,5,1,6.5,1,1,6,0,0,102,51100,0.56,23.0,2,0.56,good
2,195,4.0,2,1,4,1,12.5,1,0,0,1,0,170,0,0.63,95.0,0,0.83,bad
2,66,0.46,2,1,9,8,0.125,0,0,0,1,0,74,55,0.46,45.0,0,0.45,bad
2,188,9.17,2,1,2,8,4.5,1,1,12,1,0,0,221,0.39,41.0,1,0.81,good
2,96,3.0,2,1,2,8,1.25,0,1,1,0,0,0,22,0.91,60.0,2,0.44,bad
2,13,3.0,2,1,9,8,0.04,0,0,0,1,0,23,40,0.29,49.0,1,0.57,bad
2,327,2.71,2,1,2,8,2.415,0,0,0,1,0,86,0,0.11,4.0,2,0.76,bad
2,242,0.5,3,3,10,8,0.5,0,0,0,1,0,12,0,0.03,49.0,0,0.82,bad
2,64,2.335,2,1,9,8,0.75,0,0,0,0,0,34,0,0.95,40.0,2,0.26,bad
2,277,6.5,2,1,2,8,1.0,0,0,0,1,0,0,228,0.31,34.0,0,0.35,bad
1,97,13.5,3,3,6,3,2.0,0,1,1,1,0,40,1,0.84,98.0,2,0.37,bad
1,34,8.585,2,1,3,4,0.75,1,1,7,0,0,167,0,0.59,60.0,2,0.23,good
1,71,0.75,2,1,2,8,2.0,0,1,2,1,0,40,394,0.06,100.0,0,0.27,bad
2,113,14.585,2,1,7,1,0.0,0,0,0,1,0,33,0,0.18,58.0,0,0.88,bad
1,153,10.665,2,1,11,4,0.085,0,1,12,1,0,11,3,0.01,71.0,0,0.86,bad
1,101,0.0,0,0,0,0,0.0,0,0,0,0,1,170,0,0.48,56.0,1,0.95,good
2,154,2.5,2,1,3,4,2.25,0,0,0,1,2,90,0,0.41,88.0,2,0.66,bad
1,272,3.0,2,1,2,8,2.375,1,1,8,1,0,108,4159,0.07,26.0,2,0.08,good
2,199,3.165,2,1,14,4,3.75,1,0,0,1,0,151,0,0.12,59.0,2,0.76,bad
2,198,2.5,2,1,9,8,4.5,1,1,7,0,0,19,1270,0.63,48.0,1,0.29,good
1,221,4.415,2,1,2,8,0.125,0,0,0,0,0,23,0,0.65,63.0,2,0.21,bad
2,46,7.0,2,1,2,8,1.625,1,1,3,0,0,40,1391,0.09,80.0,2,0.49,good
2,171,3.5,2,1,9,8,0.5,0,0,0,1,0,58,0,0.95,91.0,2,0.31,bad
1,307,0.165,2,1,6,3,0.0,0,0,0,1,2,149,27,0.87,17.0,1,0.23,bad
2,36,1.5,3,3,3,8,2.0,1,0,0,1,0,1,20,0.01,72.0,1,0.05,bad
2,75,0.75,2,1,10,8,0.5,1,0,0,1,2,86,0,0.2,88.0,1,0.87,bad
2,22,6.75,3,3,10,8,0.04,0,0,0,0,0,15,0,0.42,49.0,2,0.18,bad
2,339,11.0,2,1,5,9,20.0,1,1,7,1,0,50,0,0.38,63.0,1,0.85,good
2,44,9.96,2,1,5,2,0.0,1,0,0,0,0,0,0,0.09,88.0,2,0.12,good
2,144,2.04,3,3,14,4,0.04,0,0,0,0,0,10,1,0.16,43.0,2,0.53,bad
2,78,12.625,2,1,2,8,0.125,0,1,2,0,0,0,5552,0.42,1.0,2,0.04,bad
2,103,0.75,2,1,2,1,0.25,1,0,0,0,0,92,23,0.81,97.0,2,0.99,good
1,69,8.5,2,1,11,8,1.75,1,1,10,0,0,159,990,0.03,13.0,2,0.31,bad
2,55,10.5,2,1,2,8,3.0,1,0,0,1,0,0,0,0.25,61.0,0,0.97,good
2,349,0.375,2,1,4,8,0.875,1,0,0,1,2,164,0,0.71,77.0,1,0.88,bad
1,93,1.25,2,1,6,3,0.0,1,0,0,0,0,159,0,0.48,8.0,0,0.41,bad
1,212,5.125,2,1,5,8,5.0,1,0,0,1,0,0,4000,0.81,100.0,2,0.86,good
1,134,1.04,2,1,2,8,2.5,1,1,5,1,0,80,1430,0.21,57.0,0,0.04,good
2,342,9.0,2,1,6,3,4.0,0,1,1,0,0,152,6,0.9,97.0,1,0.39,bad
2,101,0.335,2,1,9,4,3.5,0,0,0,1,0,90,0,0.45,35.0,2,0.98,bad
2,145,1.835,2,1,2,4,4.335,1,0,0,0,0,67,200,0.87,65.0,2,0.29,good
2,77,0.0,2,1,3,8,0.085,1,0,0,0,0,0,0,0.04,100.0,2,0.26,good
1,180,3.0,3,3,1,8,2.0,0,0,0,0,0,34,0,0.91,98.0,1,0.17,bad
2,211,4.415,3,3,9,8,0.25,1,1,10,1,0,86,0,0.34,100.0,0,0.35,good
2,128,0.125,3,3,9,8,0.085,0,0,0,0,0,49,2100,0.86,87.0,1,0.83,bad
2,98,0.58,2,1,2,8,0.29,1,1,7,1,0,167,5124,0.18,79.0,1,0.57,good
2,244,4.04,2,1,3,4,7.0,1,1,8,0,0,86,0,0.23,87.0,2,0.34,good
2,102,2.21,3,3,1,8,4.0,1,0,0,0,0,37,0,0.83,72.0,0,0.78,bad
2,243,0.04,2,1,5,8,0.04,0,1,1,0,2,145,0,0.25,78.0,2,0.37,good
1,289,1.5,2,1,8,5,0.0,1,0,0,1,0,1,27,0.77,78.0,0,0.1,bad
1,116,13.5,2,1,11,4,5.0,1,1,2,0,0,0,5000,0.99,97.0,1,0.88,good
2,238,21.5,2,1,5,9,20.0,1,1,11,0,0,0,1200,0.58,99.0,2,0.72,good
2,170,0.165,3,3,2,4,3.25,1,1,1,1,0,120,8000,0.26,96.0,0,0.91,good
1,71,0.335,2,1,11,8,0.75,0,0,0,0,2,23,0,0.96,63.0,0,0.85,bad
1,95,2.54,3,3,1,8,0.25,1,0,0,1,0,99,0,0.86,27.0,1,0.71,good
1,133,3.75,2,1,2,8,0.25,0,1,1,1,0,110,154,0.7,33.0,2,0.07,bad
2,46,1.835,2,1,2,8,2.25,1,1,1,0,0,1,150,0.88,52.0,2,0.62,good
1,328,4.46,2,1,11,4,3.04,1,1,6,0,0,118,560,0.54,68.0,0,0.82,good
1,140,1.085,3,3,14,8,1.0,0,0,0,0,0,74,13,0.99,27.0,1,0.56,bad
2,125,4.0,3,3,7,4,5.75,1,1,2,1,0,156,0,0.46,91.0,2,0.34,bad
0,140,2.0,3,3,5,4,2.0,0,0,0,0,0,66,17,0.64,94.0,2,0.71,bad
1,68,5.665,2,1,11,8,2.585,1,1,7,0,0,11,3257,0.93,46.0,2,0.09,good
2,211,2.0,2,1,7,8,0.25,0,0,0,1,0,52,0,0.99,55.0,0,0.48,bad
1,337,0.165,2,1,6,3,0.0,1,1,1,0,0,58,100,0.98,74.0,1,0.02,good
1,89,1.75,3,3,2,8,0.165,0,0,0,0,0,13,0,0.92,80.0,2,0.31,bad
2,39,10.0,3,3,9,4,0.835,1,0,0,1,0,15,0,0.72,72.0,2,0.07,bad
2,108,0.835,2,1,3,8,1.165,0,0,0,0,0,1,0,0.36,30.0,1,0.7,bad
1,202,0.915,2,1,1,8,0.75,1,1,4,0,0,0,1583,0.9,60.0,1,0.28,good
2,47,10.0,3,3,2,8,2.5,1,0,0,0,2,110,0,0.64,47.0,2,0.91,good
2,202,2.415,2,1,13,8,0.125,0,1,2,0,0,51,1,0.35,100.0,1,0.41,bad
2,140,0.58,2,1,13,8,0.29,0,1,1,0,0,90,2803,0.78,100.0,2,0.98,bad
1,23,10.0,3,3,11,4,0.165,0,0,0,0,0,90,0,0.2,100.0,2,0.32,bad
1,166,3.125,2,1,6,3,3.04,0,1,2,1,0,40,4,0.56,75.0,2,0.82,bad
1,80,0.79,3,3,11,8,1.5,1,1,2,1,0,159,400,0.08,2.0,1,0.71,good
2,94,12.0,2,1,9,8,2.25,1,1,2,1,0,8,5,0.55,95.0,0,0.01,bad
2,247,1.54,2,1,7,1,3.5,0,0,0,0,0,49,0,0.27,38.0,1,0.5,good
2,23,10.25,2,1,2,4,1.085,0,0,0,0,0,86,13,0.82,9.0,0,0.42,bad
2,134,9.335,2,1,11,4,5.665,1,1,6,0,0,104,168,0.74,9.0,1,0.49,good
2,340,5.5,2,1,5,9,13.0,1,1,1,1,0,0,0,0.84,26.0,2,0.28,good
2,135,1.165,2,1,9,8,0.5,1,0,0,0,2,74,0,0.91,95.0,0,0.44,bad
2,209,4.25,2,1,11,8,3.5,0,0,0,0,0,126,50,0.08,75.0,1,0.78,bad
1,273,0.46,2,1,3,4,0.415,1,1,11,1,0,122,6,0.47,16.0,1,0.64,good
1,349,11.25,2,1,6,3,0.0,0,0,0,0,0,170,5200,0.2,61.0,0,0.86,bad
2,119,0.625,2,1,1,8,0.455,1,0,0,1,0,40,0,0.58,67.0,2,0.06,bad
2,252,1.04,2,1,13,8,5.0,1,1,6,1,0,136,10000,0.89,28.0,0,0.39,good
1,87,2.5,3,3,7,1,4.5,0,0,0,0,0,40,456,0.25,50.0,0,0.1,bad
1,50,3.0,2,1,1,8,0.04,1,0,0,0,0,1,0,0.34,45.0,1,0.7,good
1,295,0.835,2,1,1,8,0.5,0,0,0,1,0,61,117,0.61,20.0,0,0.72,bad
2,59,1.165,3,3,9,8,2.5,1,1,1,0,0,34,20,0.36,62.0,2,0.88,bad
1,82,0.585,3,3,6,3,0.125,0,0,0,0,0,8,87,0.7,42.0,0,0.96,bad
2,96,6.0,2,1,2,8,1.0,1,1,3,0,0,0,0,0.45,96.0,1,0.45,good
2,205,18.125,2,1,13,8,0.085,0,0,0,0,0,86,3552,0.8,18.0,2,0.3,bad
2,187,2.5,2,1,2,8,1.0,0,0,0,0,0,128,16,0.33,24.0,1,0.96,bad
1,167,6.0,2,1,4,8,1.25,0,0,0,0,0,70,0,0.15,19.0,0,0.19,bad
2,92,2.75,2,1,2,8,2.25,1,1,6,0,0,170,600,0.28,94.0,1,0.61,good
2,41,7.0,2,1,2,8,0.5,0,0,0,0,0,0,0,0.22,43.0,2,0.26,bad
2,194,15.0,2,1,12,6,5.375,1,1,9,1,0,0,134,0.91,89.0,2,0.53,good
1,341,15.0,2,1,5,9,0.0,1,1,14,0,0,0,3376,0.02,76.0,1,0.57,good
2,48,5.29,2,1,11,8,0.375,1,1,1,0,0,23,0,0.42,72.0,2,0.35,bad
1,195,1.25,3,3,7,4,0.5,0,0,0,1,0,23,0,0.56,8.0,1,0.35,bad
2,231,5.875,2,1,3,4,10.0,1,1,14,1,0,109,0,0.34,14.0,1,0.74,good
2,53,0.25,3,3,2,4,0.25,0,0,0,0,0,74,204,0.44,88.0,1,0.86,bad
1,72,6.165,2,1,1,8,0.165,0,0,0,0,0,51,1000,0.42,61.0,1,0.67,bad
2,137,3.5,2,1,13,8,3.5,1,1,3,1,0,87,0,0.86,49.0,2,0.02,bad
2,257,1.25,2,1,10,8,13.875,0,1,1,1,0,94,112,0.78,20.0,0,0.23,bad
2,161,15.5,2,1,2,8,0.5,1,0,0,0,0,8,0,0.23,27.0,0,0.85,bad
1,203,1.0,2,1,2,8,2.0,1,1,11,0,0,0,456,0.06,61.0,1,0.9,good
2,187,6.5,2,1,1,8,0.125,1,0,0,1,0,123,0,0.66,20.0,1,0.84,bad
2,213,4.0,2,1,2,1,5.0,1,0,0,1,2,74,0,0.25,18.0,2,0.38,bad
2,190,1.335,2,1,7,1,0.125,0,0,0,1,0,122,4500,0.13,15.0,0,0.92,bad
2,48,1.25,3,3,2,4,1.375,1,1,3,1,0,15,210,0.83,37.0,1,0.98,bad
1,141,1.75,3,3,9,8,1.25,0,0,0,1,0,74,0,0.63,19.0,0,0.38,bad
2,27,2.0,2,1,7,8,1.5,1,1,2,0,0,8,300,0.7,91.0,0,0.8,good
2,216,1.125,3,3,4,8,1.5,0,0,0,1,0,119,0,0.6,97.0,2,0.2,good
2,129,0.875,2,1,10,8,0.96,1,1,3,1,0,108,0,0.97,90.0,1,0.87,good
1,69,8.46,3,3,14,8,2.46,0,0,0,0,0,25,0,0.04,87.0,0,0.1,good
2,334,12.75,3,3,2,4,5.0,1,0,0,0,0,5,0,0.31,29.0,0,0.18,bad
2,10,0.125,2,1,2,8,0.165,0,0,0,0,0,13,0,0.68,19.0,1,0.11,bad
2,168,4.0,2,1,10,8,2.5,1,0,0,1,0,96,0,0.45,15.0,2,0.83,good
2,172,3.0,2,1,4,8,0.165,0,0,0,1,0,8,0,0.55,71.0,0,0.41,bad
2,129,5.125,2,1,14,8,4.75,1,1,2,0,0,116,7,0.21,10.0,0,0.4,good
2,91,0.54,2,1,10,8,1.0,0,0,0,1,0,8,1,0.34,96.0,2,0.34,bad
2,171,7.5,2,1,5,1,1.585,1,0,0,1,2,116,0,0.8,56.0,0,0.47,bad
2,349,5.0,3,3,1,8,8.5,1,0,0,0,0,0,0,0.82,20.0,2,0.5,bad
1,14,9.5,2,1,1,8,1.75,0,1,10,1,0,0,10,0.65,2.0,2,0.12,bad
2,37,9.585,2,1,1,8,0.79,0,0,0,0,0,159,350,0.46,75.0,2,0.04,bad
2,291,7.585,2,1,7,1,7.585,1,1,15,1,0,0,5000,0.19,35.0,0,0.18,good
2,109,1.54,2,1,13,8,0.125,0,0,0,0,0,1,0,0.34,66.0,2,0.1,bad
1,37,0.165,2,1,11,8,0.04,0,0,0,1,0,103,0,0.58,48.0,0,0.96,bad
1,132,1.0,2,1,11,8,1.0,1,1,2,1,0,26,500,0.46,93.0,2,0.41,bad
2,148,6.5,2,1,3,8,3.125,1,1,8,0,0,88,1200,0.95,58.0,0,0.64,good
2,28,10.29,2,1,6,3,0.415,0,0,0,0,0,159,0,0.21,43.0,0,0.17,bad
2,103,0.5,2,1,2,8,1.46,1,1,5,1,0,84,0,0.95,55.0,1,0.91,good
2,319,12.25,2,1,10,8,1.25,1,1,4,1,0,40,0,0.37,2.0,0,0.57,good
1,270,10.5,2,1,11,8,5.0,1,1,7,1,0,0,0,0.32,77.0,1,0.26,good
1,293,13.585,2,1,9,4,8.5,1,0,0,1,0,0,0,0.85,36.0,2,0.39,good
1,320,4.25,3,3,6,3,5.0,0,0,0,1,0,0,4,0.44,70.0,2,0.5,bad
2,102,12.5,2,1,3,8,1.21,1,1,67,1,0,15,258,0.33,12.0,1,0.62,good
2,220,10.125,3,3,9,8,0.125,0,0,0,0,0,23,0,0.95,85.0,1,0.74,bad
2,82,0.46,3,3,13,8,2.625,1,1,6,1,0,44,347,0.6,13.0,2,0.68,bad
1,239,8.125,3,3,9,8,0.165,0,1,2,0,0,170,18,0.58,38.0,2,0.34,bad
2,64,0.83,2,1,2,4,2.165,0,0,0,1,0,10,0,0.41,26.0,1,0.79,good
2,36,7.25,2,1,10,8,0.04,0,1,1,0,0,1,1,0.19,18.0,2,0.06,bad
2,163,16.165,2,1,4,8,3.0,1,1,9,0,0,62,730,0.94,28.0,0,0.83,good
2,66,9.0,2,1,1,8,0.085,0,0,0,0,0,0,0,0.68,57.0,0,0.86,bad
2,181,1.75,2,1,14,4,4.5,1,1,4,1,0,64,857,0.79,31.0,2,0.68,good
2,219,10.125,2,1,14,8,2.5,1,1,6,0,0,141,196,0.13,73.0,0,0.17,good
2,158,1.5,3,3,13,8,0.04,0,0,0,0,2,23,0,0.69,29.0,0,0.84,bad
2,237,6.5,2,1,1,1,3.5,1,1,1,0,0,0,500,0.57,94.0,1,0.37,good
1,90,0.67,2,1,1,4,1.75,1,0,0,0,0,111,0,0.84,12.0,0,0.17,bad
2,95,1.71,2,1,14,8,1.665,1,1,1,1,0,107,20,0.59,84.0,1,0.29,good
2,75,0.625,3,3,1,8,0.125,1,0,0,0,0,34,1,0.59,53.0,0,0.49,bad
2,186,5.5,3,3,2,8,1.5,0,0,0,1,0,147,0,0.48,2.0,0,0.23,bad
1,178,4.625,2,1,11,4,1.625,1,1,2,0,0,0,0,0.95,53.0,0,0.78,good
2,250,0.42,2,1,2,4,0.21,1,1,6,0,0,51,948,0.35,73.0,0,0.88,good
